geneid                                                       tseintronbegin       tseintronend        
EmonterogeiiLV88_EmoLV88_36_19                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_20                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_21                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_22                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_23                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_24                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_25                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_26                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_27                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_28                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_29                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_30                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_31                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_32                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_33                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_34                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_35                               0                    0                   
EmonterogeiiLV88_EmoLV88_34_36                               0                    0                   
EmonterogeiiLV88_EmoLV88_33_37                               0                    0                   
EmonterogeiiLV88_EmoLV88_33_38                               0                    0                   
EmonterogeiiLV88_EmoLV88_33_39                               0                    0                   
EmonterogeiiLV88_EmoLV88_33_40                               0                    0                   
EmonterogeiiLV88_EmoLV88_31_41                               0                    0                   
EmonterogeiiLV88_EmoLV88_31_42                               0                    0                   
EmonterogeiiLV88_EmoLV88_31_43                               0                    0                   
EmonterogeiiLV88_EmoLV88_31_44                               0                    0                   
EmonterogeiiLV88_EmoLV88_31_45                               0                    0                   
EmonterogeiiLV88_EmoLV88_31_46                               0                    0                   
EmonterogeiiLV88_EmoLV88_30_47                               0                    0                   
EmonterogeiiLV88_EmoLV88_26_48                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_49                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_50                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_51                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_52                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_53                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_54                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_55                               0                    0                   
EmonterogeiiLV88_EmoLV88_24_56                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_57                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_58                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_59                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_60                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_61                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_62                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_63                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_64                               0                    0                   
EmonterogeiiLV88_EmoLV88_23_65                               0                    0                   
EmonterogeiiLV88_EmoLV88_21_66                               0                    0                   
EmonterogeiiLV88_EmoLV88_21_67                               0                    0                   
EmonterogeiiLV88_EmoLV88_21_68                               0                    0                   
EmonterogeiiLV88_EmoLV88_21_69                               0                    0                   
EmonterogeiiLV88_EmoLV88_21_70                               0                    0                   
EmonterogeiiLV88_EmoLV88_17_71                               0                    0                   
EmonterogeiiLV88_EmoLV88_17_72                               0                    0                   
EmonterogeiiLV88_EmoLV88_17_73                               0                    0                   
EmonterogeiiLV88_EmoLV88_16_74                               0                    0                   
EmonterogeiiLV88_EmoLV88_15_75                               0                    0                   
EmonterogeiiLV88_EmoLV88_15_76                               0                    0                   
EmonterogeiiLV88_EmoLV88_15_77                               0                    0                   
EmonterogeiiLV88_EmoLV88_15_78                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_79                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_80                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_81                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_82                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_83                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_84                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_85                               0                    0                   
EmonterogeiiLV88_EmoLV88_11_86                               0                    0                   
EmonterogeiiLV88_EmoLV88_10_87                               0                    0                   
EmonterogeiiLV88_EmoLV88_10_88                               0                    0                   
EmonterogeiiLV88_EmoLV88_10_89                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_90                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_91                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_92                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_93                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_94                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_95                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_96                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_97                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_98                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_99                               0                    0                   
EmonterogeiiLV88_EmoLV88_09_100                              0                    0                   
EmonterogeiiLV88_EmoLV88_09_101                              0                    0                   
EmonterogeiiLV88_EmoLV88_09_102                              0                    0                   
EmonterogeiiLV88_EmoLV88_07_103                              0                    0                   
EmonterogeiiLV88_EmoLV88_06_104                              0                    0                   
EmonterogeiiLV88_EmoLV88_05_105                              0                    0                   
EmonterogeiiLV88_EmoLV88_03_106                              0                    0                   
EmonterogeiiLV88_EmoLV88_03_107                              0                    0                   
LaethiopicaL147_LaeL147_33_1                                 notfound             notfound            
LaethiopicaL147_LaeL147_27_2                                 notfound             notfound            
LaethiopicaL147_LaeL147_23_3                                 notfound             notfound            
LaethiopicaL147_LaeL147_06_4                                 notfound             notfound            
LaethiopicaL147_LaeL147_06_5                                 notfound             notfound            
LaethiopicaL147_LaeL147_02_6                                 notfound             notfound            
LaethiopicaL147_LaeL147_36_7                                 0                    0                   
LaethiopicaL147_LaeL147_36_8                                 0                    0                   
LaethiopicaL147_LaeL147_36_9                                 0                    0                   
LaethiopicaL147_LaeL147_36_10                                0                    0                   
LaethiopicaL147_LaeL147_36_11                                0                    0                   
LaethiopicaL147_LaeL147_36_12                                0                    0                   
LaethiopicaL147_LaeL147_36_13                                0                    0                   
LaethiopicaL147_LaeL147_36_14                                0                    0                   
LaethiopicaL147_LaeL147_36_15                                0                    0                   
LaethiopicaL147_LaeL147_36_16                                487522               487532              
LaethiopicaL147_LaeL147_36_17                                0                    0                   
LaethiopicaL147_LaeL147_36_18                                0                    0                   
LaethiopicaL147_LaeL147_36_19                                486346               486336              
LaethiopicaL147_LaeL147_34_20                                0                    0                   
LaethiopicaL147_LaeL147_34_21                                1330877              1330887             
LaethiopicaL147_LaeL147_34_22                                0                    0                   
LaethiopicaL147_LaeL147_34_23                                0                    0                   
LaethiopicaL147_LaeL147_34_24                                0                    0                   
LaethiopicaL147_LaeL147_34_25                                0                    0                   
LaethiopicaL147_LaeL147_34_26                                0                    0                   
LaethiopicaL147_LaeL147_34_27                                0                    0                   
LaethiopicaL147_LaeL147_34_28                                0                    0                   
LaethiopicaL147_LaeL147_34_29                                0                    0                   
LaethiopicaL147_LaeL147_33_30                                0                    0                   
LaethiopicaL147_LaeL147_33_31                                0                    0                   
LaethiopicaL147_LaeL147_33_32                                0                    0                   
LaethiopicaL147_LaeL147_31_33                                0                    0                   
LaethiopicaL147_LaeL147_31_34                                0                    0                   
LaethiopicaL147_LaeL147_31_35                                0                    0                   
LaethiopicaL147_LaeL147_31_36                                0                    0                   
LaethiopicaL147_LaeL147_31_37                                0                    0                   
LaethiopicaL147_LaeL147_30_38                                0                    0                   
LaethiopicaL147_LaeL147_29_39                                0                    0                   
LaethiopicaL147_LaeL147_29_40                                0                    0                   
LaethiopicaL147_LaeL147_24_41                                0                    0                   
LaethiopicaL147_LaeL147_24_42                                0                    0                   
LaethiopicaL147_LaeL147_24_43                                0                    0                   
LaethiopicaL147_LaeL147_24_44                                0                    0                   
LaethiopicaL147_LaeL147_24_45                                0                    0                   
LaethiopicaL147_LaeL147_24_46                                0                    0                   
LaethiopicaL147_LaeL147_23_47                                0                    0                   
LaethiopicaL147_LaeL147_23_48                                0                    0                   
LaethiopicaL147_LaeL147_23_49                                0                    0                   
LaethiopicaL147_LaeL147_23_50                                0                    0                   
LaethiopicaL147_LaeL147_23_51                                0                    0                   
LaethiopicaL147_LaeL147_23_52                                0                    0                   
LaethiopicaL147_LaeL147_23_53                                0                    0                   
LaethiopicaL147_LaeL147_23_54                                0                    0                   
LaethiopicaL147_LaeL147_23_55                                0                    0                   
LaethiopicaL147_LaeL147_23_56                                0                    0                   
LaethiopicaL147_LaeL147_21_57                                0                    0                   
LaethiopicaL147_LaeL147_21_58                                0                    0                   
LaethiopicaL147_LaeL147_21_59                                0                    0                   
LaethiopicaL147_LaeL147_21_60                                0                    0                   
LaethiopicaL147_LaeL147_17_61                                0                    0                   
LaethiopicaL147_LaeL147_17_62                                0                    0                   
LaethiopicaL147_LaeL147_17_63                                0                    0                   
LaethiopicaL147_LaeL147_16_64                                0                    0                   
LaethiopicaL147_LaeL147_15_65                                0                    0                   
LaethiopicaL147_LaeL147_15_66                                0                    0                   
LaethiopicaL147_LaeL147_11_67                                0                    0                   
LaethiopicaL147_LaeL147_11_68                                0                    0                   
LaethiopicaL147_LaeL147_11_69                                0                    0                   
LaethiopicaL147_LaeL147_11_70                                0                    0                   
LaethiopicaL147_LaeL147_11_71                                0                    0                   
LaethiopicaL147_LaeL147_11_72                                0                    0                   
LaethiopicaL147_LaeL147_10_73                                0                    0                   
LaethiopicaL147_LaeL147_10_74                                0                    0                   
LaethiopicaL147_LaeL147_10_75                                0                    0                   
LaethiopicaL147_LaeL147_09_76                                0                    0                   
LaethiopicaL147_LaeL147_09_77                                0                    0                   
LaethiopicaL147_LaeL147_09_78                                0                    0                   
LaethiopicaL147_LaeL147_09_79                                0                    0                   
LaethiopicaL147_LaeL147_09_80                                0                    0                   
LaethiopicaL147_LaeL147_09_81                                0                    0                   
LaethiopicaL147_LaeL147_09_82                                0                    0                   
LaethiopicaL147_LaeL147_09_83                                0                    0                   
LaethiopicaL147_LaeL147_09_84                                0                    0                   
LaethiopicaL147_LaeL147_07_85                                0                    0                   
LaethiopicaL147_LaeL147_06_86                                0                    0                   
LaethiopicaL147_LaeL147_05_87                                0                    0                   
LaethiopicaL147_LaeL147_03_88                                0                    0                   
LamazonensisMHOMBR71973M2269_KE390676.1_1                    notfound             notfound            
LamazonensisMHOMBR71973M2269_KE390037.1_2                    notfound             notfound            
LamazonensisMHOMBR71973M2269_KE391949.1_3                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391949.1_4                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391949.1_5                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391949.1_6                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391699.1_7                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391669.1_8                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391669.1_9                    0                    0                   
LamazonensisMHOMBR71973M2269_KE391669.1_10                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391669.1_11                   34371                34361               
LamazonensisMHOMBR71973M2269_KE391669.1_12                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391573.1_13                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391501.1_14                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391478.1_15                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391478.1_16                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391478.1_17                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391478.1_18                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391478.1_19                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391478.1_20                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391476.1_21                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391455.1_22                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391395.1_23                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391395.1_24                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391349.1_25                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391066.1_26                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391051.1_27                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391051.1_28                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391051.1_29                   0                    0                   
LamazonensisMHOMBR71973M2269_KE391011.1_30                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390994.1_31                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390994.1_32                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390989.1_33                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390989.1_34                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390921.1_35                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390921.1_36                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390921.1_37                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390886.1_38                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390886.1_39                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390886.1_40                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390774.1_41                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390774.1_42                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390692.1_43                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390692.1_44                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390692.1_45                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390640.1_46                   859                  869                 
LamazonensisMHOMBR71973M2269_KE390640.1_47                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390361.1_48                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390361.1_49                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390361.1_50                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390361.1_51                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390361.1_52                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390138.1_53                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390138.1_54                   0                    0                   
LamazonensisMHOMBR71973M2269_KE390138.1_55                   0                    0                   
