geneid                                                       sourceOrg                           sourceseq                           sourceSO      direction  tsebegin   tseend     arabegin   araend    
BayalaiB08-376_Baya_104_36                                   BayalaiB08-376                      Baya_104                            contig        -          67116      67187      67115      67187     
BayalaiB08-376_Baya_104_37                                   BayalaiB08-376                      Baya_104                            contig        -          66987      67059      66987      67059     
BayalaiB08-376_Baya_087_38                                   BayalaiB08-376                      Baya_087                            contig        +          51747      51834      51747      51834     
BayalaiB08-376_Baya_077_39                                   BayalaiB08-376                      Baya_077                            contig        +          91398      91468      91398      91468     
BayalaiB08-376_Baya_077_40                                   BayalaiB08-376                      Baya_077                            contig        -          91164      91235      91163      91235     
BayalaiB08-376_Baya_076_41                                   BayalaiB08-376                      Baya_076                            contig        +          93160      93231      93159      93232     
BayalaiB08-376_Baya_074_42                                   BayalaiB08-376                      Baya_074                            contig        +          42003      42084      42003      42085     
BayalaiB08-376_Baya_074_43                                   BayalaiB08-376                      Baya_074                            contig        +          41864      41944      41864      41944     
BayalaiB08-376_Baya_073_44                                   BayalaiB08-376                      Baya_073                            contig        +          60906      60977      60906      60979     
BayalaiB08-376_Baya_065_45                                   BayalaiB08-376                      Baya_065                            contig        -          100439     100512     100438     100512    
BayalaiB08-376_Baya_065_46                                   BayalaiB08-376                      Baya_065                            contig        -          100309     100382     100308     100382    
BayalaiB08-376_Baya_065_47                                   BayalaiB08-376                      Baya_065                            contig        -          100170     100242     100170     100242    
BayalaiB08-376_Baya_065_48                                   BayalaiB08-376                      Baya_065                            contig        +          100023     100103     100023     100105    
BayalaiB08-376_Baya_065_49                                   BayalaiB08-376                      Baya_065                            contig        -          99870      99949      99867      99949     
BayalaiB08-376_Baya_062_50                                   BayalaiB08-376                      Baya_062                            contig        -          5542       5613       5542       5613      
BayalaiB08-376_Baya_062_51                                   BayalaiB08-376                      Baya_062                            contig        +          5414       5485       5414       5487      
BayalaiB08-376_Baya_059_52                                   BayalaiB08-376                      Baya_059                            contig        +          43907      43988      43907      43988     
BayalaiB08-376_Baya_059_53                                   BayalaiB08-376                      Baya_059                            contig        +          43776      43847      43776      43849     
BayalaiB08-376_Baya_059_54                                   BayalaiB08-376                      Baya_059                            contig        +          43650      43721      43649      43722     
BayalaiB08-376_Baya_029_55                                   BayalaiB08-376                      Baya_029                            contig        +          123149     123220     123149     123220    
BayalaiB08-376_Baya_029_56                                   BayalaiB08-376                      Baya_029                            contig        -          122992     123074     122992     123074    
BayalaiB08-376_Baya_025_57                                   BayalaiB08-376                      Baya_025                            contig        +          125        205        125        205       
BayalaiB08-376_Baya_024_58                                   BayalaiB08-376                      Baya_024                            contig        +          139        211        139        212       
BayalaiB08-376_Baya_023_59                                   BayalaiB08-376                      Baya_023                            contig        -          107950     108023     107949     108023    
BayalaiB08-376_Baya_023_60                                   BayalaiB08-376                      Baya_023                            contig        -          107812     107892     107810     107893    
BayalaiB08-376_Baya_023_61                                   BayalaiB08-376                      Baya_023                            contig        +          107701     107773     107701     107773    
BayalaiB08-376_Baya_022_62                                   BayalaiB08-376                      Baya_022                            contig        +          56815      56887      56815      56888     
BayalaiB08-376_Baya_022_63                                   BayalaiB08-376                      Baya_022                            contig        +          56667      56738      56667      56738     
BayalaiB08-376_Baya_021_64                                   BayalaiB08-376                      Baya_021                            contig        +          68911      68983      68911      68984     
BayalaiB08-376_Baya_017_65                                   BayalaiB08-376                      Baya_017                            contig        +          7232       7303       7232       7303      
BayalaiB08-376_Baya_002_66                                   BayalaiB08-376                      Baya_002                            contig        -          309140     309211     309139     309211    
BayalaiB08-376_Baya_002_67                                   BayalaiB08-376                      Baya_002                            contig        +          215775     215847     215775     215848    
BayalaiB08-376_Baya_002_68                                   BayalaiB08-376                      Baya_002                            contig        -          215631     215703     215630     215703    
BayalaiB08-376_Baya_001_69                                   BayalaiB08-376                      Baya_001                            contig        -          212478     212558     212478     212558    
BayalaiB08-376_Baya_001_70                                   BayalaiB08-376                      Baya_001                            contig        +          212366     212438     212366     212440    
BayalaiB08-376_Baya_001_71                                   BayalaiB08-376                      Baya_001                            contig        -          148046     148116     148044     148116    
BayalaiB08-376_Baya_001_72                                   BayalaiB08-376                      Baya_001                            contig        -          147913     147984     147913     147984    
CfasciculataCfCl_CfaC1_29_1                                  CfasciculataCfCl                    CfaC1_29                            notfound      -          1874812    1874895    -1         -1        
CfasciculataCfCl_CfaC1_29_2                                  CfasciculataCfCl                    CfaC1_29                            notfound      +          1114278    1114361    -1         -1        
CfasciculataCfCl_CfaC1_25_3                                  CfasciculataCfCl                    CfaC1_25                            notfound      -          465871     465954     -1         -1        
CfasciculataCfCl_CfaC1_30_4                                  CfasciculataCfCl                    CfaC1_30                            chromosome    +          -1         -1         2956718    2956818   
CfasciculataCfCl_CfaC1_29_5                                  CfasciculataCfCl                    CfaC1_29                            chromosome    -          -1         -1         936290     936379    
CfasciculataCfCl_CfaC1_28_6                                  CfasciculataCfCl                    CfaC1_28                            chromosome    -          -1         -1         1839282    1839369   
CfasciculataCfCl_CfaC1_21_7                                  CfasciculataCfCl                    CfaC1_21                            chromosome    +          -1         -1         958210     958303    
CfasciculataCfCl_CfaC1_21_8                                  CfasciculataCfCl                    CfaC1_21                            chromosome    +          -1         -1         587019     587114    
CfasciculataCfCl_CfaC1_16_9                                  CfasciculataCfCl                    CfaC1_16                            chromosome    +          -1         -1         350774     350864    
CfasciculataCfCl_CfaC1_07_10                                 CfasciculataCfCl                    CfaC1_07                            chromosome    +          -1         -1         441598     441675    
CfasciculataCfCl_CfaC1_05_11                                 CfasciculataCfCl                    CfaC1_05                            chromosome    +          -1         -1         612044     612144    
CfasciculataCfCl_CfaC1_05_12                                 CfasciculataCfCl                    CfaC1_05                            chromosome    -          -1         -1         107895     107985    
CfasciculataCfCl_CfaC1_30_13                                 CfasciculataCfCl                    CfaC1_30                            chromosome    +          600167     600238     600166     600241    
CfasciculataCfCl_CfaC1_30_14                                 CfasciculataCfCl                    CfaC1_30                            chromosome    +          37711      37782      37711      37782     
CfasciculataCfCl_CfaC1_29_15                                 CfasciculataCfCl                    CfaC1_29                            chromosome    +          1875237    1875309    1875237    1875310   
CfasciculataCfCl_CfaC1_29_16                                 CfasciculataCfCl                    CfaC1_29                            chromosome    +          1875106    1875177    1875106    1875177   
CfasciculataCfCl_CfaC1_29_17                                 CfasciculataCfCl                    CfaC1_29                            chromosome    -          1874955    1875026    1874955    1875026   
CfasciculataCfCl_CfaC1_29_18                                 CfasciculataCfCl                    CfaC1_29                            chromosome    -          1874678    1874750    1874677    1874750   
CfasciculataCfCl_CfaC1_29_19                                 CfasciculataCfCl                    CfaC1_29                            chromosome    +          1114884    1114964    1114883    1114965   
CfasciculataCfCl_CfaC1_29_20                                 CfasciculataCfCl                    CfaC1_29                            chromosome    -          1114731    1114810    1114729    1114810   
CfasciculataCfCl_CfaC1_29_21                                 CfasciculataCfCl                    CfaC1_29                            chromosome    +          1114561    1114633    1114561    1114633   
CfasciculataCfCl_CfaC1_29_22                                 CfasciculataCfCl                    CfaC1_29                            chromosome    +          1114422    1114495    1114422    1114496   
CfasciculataCfCl_CfaC1_29_23                                 CfasciculataCfCl                    CfaC1_29                            chromosome    -          1114131    1114204    1114130    1114204   
CfasciculataCfCl_CfaC1_28_24                                 CfasciculataCfCl                    CfaC1_28                            chromosome    +          1963098    1963169    1963098    1963170   
CfasciculataCfCl_CfaC1_28_25                                 CfasciculataCfCl                    CfaC1_28                            chromosome    -          1962954    1963025    1962954    1963025   
CfasciculataCfCl_CfaC1_28_26                                 CfasciculataCfCl                    CfaC1_28                            chromosome    -          1962812    1962893    1962811    1962893   
CfasciculataCfCl_CfaC1_28_27                                 CfasciculataCfCl                    CfaC1_28                            chromosome    +          1962686    1962757    1962686    1962758   
CfasciculataCfCl_CfaC1_28_28                                 CfasciculataCfCl                    CfaC1_28                            chromosome    +          1421960    1422040    1421960    1422042   
CfasciculataCfCl_CfaC1_28_29                                 CfasciculataCfCl                    CfaC1_28                            chromosome    -          1188644    1188715    1188642    1188716   
CfasciculataCfCl_CfaC1_28_30                                 CfasciculataCfCl                    CfaC1_28                            chromosome    -          527271     527343     527270     527343    
CfasciculataCfCl_CfaC1_28_31                                 CfasciculataCfCl                    CfaC1_28                            chromosome    +          159121     159192     159120     159194    
CfasciculataCfCl_CfaC1_28_32                                 CfasciculataCfCl                    CfaC1_28                            chromosome    +          158989     159060     158989     159061    
CfasciculataCfCl_CfaC1_28_33                                 CfasciculataCfCl                    CfaC1_28                            chromosome    -          158833     158905     158832     158905    
CfasciculataCfCl_CfaC1_28_34                                 CfasciculataCfCl                    CfaC1_28                            chromosome    -          158689     158761     158687     158761    
CfasciculataCfCl_CfaC1_27_35                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          1794258    1794338    1794257    1794339   
CfasciculataCfCl_CfaC1_27_36                                 CfasciculataCfCl                    CfaC1_27                            chromosome    +          1794140    1794212    1794140    1794212   
CfasciculataCfCl_CfaC1_27_37                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          1212225    1212307    1212224    1212307   
CfasciculataCfCl_CfaC1_27_38                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          1019429    1019500    1019428    1019500   
CfasciculataCfCl_CfaC1_27_39                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          925718     925789     925716     925789    
CfasciculataCfCl_CfaC1_27_40                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          599357     599428     599355     599429    
CfasciculataCfCl_CfaC1_27_41                                 CfasciculataCfCl                    CfaC1_27                            chromosome    +          599231     599301     599231     599301    
CfasciculataCfCl_CfaC1_27_42                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          305821     305894     305820     305894    
CfasciculataCfCl_CfaC1_27_43                                 CfasciculataCfCl                    CfaC1_27                            chromosome    -          249971     250043     249969     250043    
CfasciculataCfCl_CfaC1_26_44                                 CfasciculataCfCl                    CfaC1_26                            chromosome    -          1071896    1071967    1071894    1071967   
CfasciculataCfCl_CfaC1_26_45                                 CfasciculataCfCl                    CfaC1_26                            chromosome    +          1051497    1051569    1051497    1051570   
CfasciculataCfCl_CfaC1_26_46                                 CfasciculataCfCl                    CfaC1_26                            chromosome    -          172254     172334     172254     172334    
CfasciculataCfCl_CfaC1_25_47                                 CfasciculataCfCl                    CfaC1_25                            chromosome    +          1232155    1232228    1232155    1232229   
CfasciculataCfCl_CfaC1_25_48                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          1231990    1232071    1231990    1232071   
CfasciculataCfCl_CfaC1_25_49                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          1231842    1231915    1231841    1231915   
CfasciculataCfCl_CfaC1_25_50                                 CfasciculataCfCl                    CfaC1_25                            chromosome    +          1231721    1231792    1231720    1231794   
CfasciculataCfCl_CfaC1_25_51                                 CfasciculataCfCl                    CfaC1_25                            chromosome    +          977256     977327     977256     977328    
CfasciculataCfCl_CfaC1_25_52                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          977112     977182     977112     977182    
CfasciculataCfCl_CfaC1_25_53                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          976977     977048     976977     977048    
CfasciculataCfCl_CfaC1_25_54                                 CfasciculataCfCl                    CfaC1_25                            chromosome    +          975390     975461     975390     975461    
CfasciculataCfCl_CfaC1_25_55                                 CfasciculataCfCl                    CfaC1_25                            chromosome    +          975256     975326     975256     975326    
CfasciculataCfCl_CfaC1_25_56                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          466293     466364     466292     466364    
CfasciculataCfCl_CfaC1_25_57                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          466158     466229     466156     466229    
CfasciculataCfCl_CfaC1_25_58                                 CfasciculataCfCl                    CfaC1_25                            chromosome    -          466024     466095     466024     466095    
CfasciculataCfCl_CfaC1_24_59                                 CfasciculataCfCl                    CfaC1_24                            chromosome    -          1103530    1103601    1103528    1103602   
CfasciculataCfCl_CfaC1_24_60                                 CfasciculataCfCl                    CfaC1_24                            chromosome    +          1103407    1103478    1103407    1103479   
CfasciculataCfCl_CfaC1_23_61                                 CfasciculataCfCl                    CfaC1_23                            chromosome    +          976089     976161     976089     976161    
CfasciculataCfCl_CfaC1_22_62                                 CfasciculataCfCl                    CfaC1_22                            chromosome    -          1068413    1068484    1068411    1068485   
CfasciculataCfCl_CfaC1_22_63                                 CfasciculataCfCl                    CfaC1_22                            chromosome    +          638034     638121     638034     638121    
CfasciculataCfCl_CfaC1_21_64                                 CfasciculataCfCl                    CfaC1_21                            chromosome    +          246705     246776     246705     246776    
CfasciculataCfCl_CfaC1_20_65                                 CfasciculataCfCl                    CfaC1_20                            chromosome    -          794092     794172     794090     794172    
CfasciculataCfCl_CfaC1_20_66                                 CfasciculataCfCl                    CfaC1_20                            chromosome    -          793948     794029     793947     794029    
CfasciculataCfCl_CfaC1_18_67                                 CfasciculataCfCl                    CfaC1_18                            chromosome    +          501592     501665     501592     501666    
CfasciculataCfCl_CfaC1_15_68                                 CfasciculataCfCl                    CfaC1_15                            chromosome    +          237522     237593     237522     237595    
CfasciculataCfCl_CfaC1_15_69                                 CfasciculataCfCl                    CfaC1_15                            chromosome    +          237385     237457     237385     237458    
CfasciculataCfCl_CfaC1_15_70                                 CfasciculataCfCl                    CfaC1_15                            chromosome    -          237013     237084     237012     237084    
CfasciculataCfCl_CfaC1_15_71                                 CfasciculataCfCl                    CfaC1_15                            chromosome    +          236885     236956     236884     236957    
CfasciculataCfCl_CfaC1_15_72                                 CfasciculataCfCl                    CfaC1_15                            chromosome    -          236740     236811     236739     236812    
CfasciculataCfCl_CfaC1_15_73                                 CfasciculataCfCl                    CfaC1_15                            chromosome    +          236615     236697     236615     236698    
CfasciculataCfCl_CfaC1_15_74                                 CfasciculataCfCl                    CfaC1_15                            chromosome    -          236315     236386     236313     236386    
CfasciculataCfCl_CfaC1_15_75                                 CfasciculataCfCl                    CfaC1_15                            chromosome    -          236183     236254     236182     236254    
CfasciculataCfCl_CfaC1_15_76                                 CfasciculataCfCl                    CfaC1_15                            chromosome    -          236046     236118     236046     236118    
CfasciculataCfCl_CfaC1_15_77                                 CfasciculataCfCl                    CfaC1_15                            chromosome    +          235929     236002     235929     236002    
CfasciculataCfCl_CfaC1_15_78                                 CfasciculataCfCl                    CfaC1_15                            chromosome    +          198177     198249     198177     198250    
CfasciculataCfCl_CfaC1_13_79                                 CfasciculataCfCl                    CfaC1_13                            chromosome    +          403461     403533     403461     403534    
CfasciculataCfCl_CfaC1_13_80                                 CfasciculataCfCl                    CfaC1_13                            chromosome    +          403327     403400     403327     403401    
CfasciculataCfCl_CfaC1_13_81                                 CfasciculataCfCl                    CfaC1_13                            chromosome    +          403195     403266     403195     403267    
CfasciculataCfCl_CfaC1_12_82                                 CfasciculataCfCl                    CfaC1_12                            chromosome    -          484743     484814     484741     484815    
CfasciculataCfCl_CfaC1_11_83                                 CfasciculataCfCl                    CfaC1_11                            chromosome    -          298933     299004     298933     299004    
CfasciculataCfCl_CfaC1_11_84                                 CfasciculataCfCl                    CfaC1_11                            chromosome    -          284819     284890     284818     284890    
CfasciculataCfCl_CfaC1_10_85                                 CfasciculataCfCl                    CfaC1_10                            chromosome    +          561082     561153     561082     561155    
CfasciculataCfCl_CfaC1_09_86                                 CfasciculataCfCl                    CfaC1_09                            chromosome    +          322346     322418     322346     322420    
CfasciculataCfCl_CfaC1_09_87                                 CfasciculataCfCl                    CfaC1_09                            chromosome    +          322205     322285     322205     322285    
CfasciculataCfCl_CfaC1_09_88                                 CfasciculataCfCl                    CfaC1_09                            chromosome    -          322057     322128     322056     322128    
CfasciculataCfCl_CfaC1_08_89                                 CfasciculataCfCl                    CfaC1_08                            chromosome    -          465850     465921     465848     465921    
CfasciculataCfCl_CfaC1_08_90                                 CfasciculataCfCl                    CfaC1_08                            chromosome    -          453246     453317     453244     453317    
CfasciculataCfCl_CfaC1_07_91                                 CfasciculataCfCl                    CfaC1_07                            chromosome    +          414384     414455     414384     414457    
CfasciculataCfCl_CfaC1_07_92                                 CfasciculataCfCl                    CfaC1_07                            chromosome    -          414233     414305     414233     414305    
CfasciculataCfCl_CfaC1_07_93                                 CfasciculataCfCl                    CfaC1_07                            chromosome    +          183575     183656     183575     183657    
CfasciculataCfCl_CfaC1_07_94                                 CfasciculataCfCl                    CfaC1_07                            chromosome    -          183429     183500     183428     183500    
CfasciculataCfCl_CfaC1_07_95                                 CfasciculataCfCl                    CfaC1_07                            chromosome    +          173778     173848     173778     173849    
CfasciculataCfCl_CfaC1_07_96                                 CfasciculataCfCl                    CfaC1_07                            chromosome    +          173646     173717     173646     173718    
CfasciculataCfCl_CfaC1_07_97                                 CfasciculataCfCl                    CfaC1_07                            chromosome    -          173489     173570     173488     173570    
CfasciculataCfCl_CfaC1_07_98                                 CfasciculataCfCl                    CfaC1_07                            chromosome    -          173343     173415     173342     173415    
CfasciculataCfCl_CfaC1_06_99                                 CfasciculataCfCl                    CfaC1_06                            chromosome    +          244747     244819     244747     244821    
CfasciculataCfCl_CfaC1_05_100                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          439159     439229     439159     439230    
CfasciculataCfCl_CfaC1_05_101                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          439021     439092     439021     439093    
CfasciculataCfCl_CfaC1_05_102                                CfasciculataCfCl                    CfaC1_05                            chromosome    -          438874     438946     438873     438946    
CfasciculataCfCl_CfaC1_05_103                                CfasciculataCfCl                    CfaC1_05                            chromosome    -          438740     438811     438737     438812    
CfasciculataCfCl_CfaC1_05_104                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          416631     416703     416631     416703    
CfasciculataCfCl_CfaC1_05_105                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          416500     416570     416500     416571    
CfasciculataCfCl_CfaC1_05_106                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          416364     416436     416364     416437    
CfasciculataCfCl_CfaC1_05_107                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          279262     279344     279262     279345    
CfasciculataCfCl_CfaC1_05_108                                CfasciculataCfCl                    CfaC1_05                            chromosome    +          279127     279198     279127     279198    
CfasciculataCfCl_CfaC1_04_109                                CfasciculataCfCl                    CfaC1_04                            chromosome    -          555988     556060     555987     556060    
CfasciculataCfCl_CfaC1_04_110                                CfasciculataCfCl                    CfaC1_04                            chromosome    -          555856     555926     555856     555926    
CfasciculataCfCl_CfaC1_04_111                                CfasciculataCfCl                    CfaC1_04                            chromosome    +          555731     555803     555731     555804    
CfasciculataCfCl_CfaC1_02_112                                CfasciculataCfCl                    CfaC1_02                            chromosome    +          380166     380237     380166     380239    
CfasciculataCfCl_CfaC1_01_113                                CfasciculataCfCl                    CfaC1_01                            chromosome    +          408538     408610     408538     408610    
CfasciculataCfCl_CfaC1_01_114                                CfasciculataCfCl                    CfaC1_01                            chromosome    +          181244     181315     181244     181315    
EmonterogeiiLV88_EmoLV88_36_1                                EmonterogeiiLV88                    EmoLV88_36                          notfound      +          483540     483623     -1         -1        
EmonterogeiiLV88_EmoLV88_34_2                                EmonterogeiiLV88                    EmoLV88_34                          notfound      -          1246230    1246313    -1         -1        
EmonterogeiiLV88_EmoLV88_34_3                                EmonterogeiiLV88                    EmoLV88_34                          notfound      +          422502     422585     -1         -1        
EmonterogeiiLV88_EmoLV88_24_4                                EmonterogeiiLV88                    EmoLV88_24                          notfound      +          493371     493441     -1         -1        
EmonterogeiiLV88_EmoLV88_25_5                                EmonterogeiiLV88                    EmoLV88_25                          chromosome    +          -1         -1         693449     693541    
EmonterogeiiLV88_EmoLV88_06_6                                EmonterogeiiLV88                    EmoLV88_06                          chromosome    -          -1         -1         64769      64857     
EmonterogeiiLV88_EMOLV88_SCAF001713_7                        EmonterogeiiLV88                    EMOLV88_SCAF001713                  supercontig   +          1368       1439       1368       1441      
EmonterogeiiLV88_EMOLV88_SCAF001534_8                        EmonterogeiiLV88                    EMOLV88_SCAF001534                  supercontig   -          195        266        195        266       
EmonterogeiiLV88_EMOLV88_SCAF001534_9                        EmonterogeiiLV88                    EMOLV88_SCAF001534                  supercontig   -          55         137        52         138       
EmonterogeiiLV88_EMOLV88_SCAF000892_10                       EmonterogeiiLV88                    EMOLV88_SCAF000892                  supercontig   -          70         152        70         152       
EmonterogeiiLV88_EMOLV88_SCAF000471_11                       EmonterogeiiLV88                    EMOLV88_SCAF000471                  supercontig   -          185        256        185        256       
EmonterogeiiLV88_EmoLV88_36_12                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          3530026    3530097    3530026    3530097   
EmonterogeiiLV88_EmoLV88_36_13                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          3529882    3529953    3529882    3529953   
EmonterogeiiLV88_EmoLV88_36_14                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          3529547    3529618    3529547    3529618   
EmonterogeiiLV88_EmoLV88_36_15                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          3529403    3529474    3529403    3529474   
EmonterogeiiLV88_EmoLV88_36_16                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          3529260    3529341    3529259    3529341   
EmonterogeiiLV88_EmoLV88_36_17                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          3527728    3527799    3527728    3527799   
EmonterogeiiLV88_EmoLV88_36_18                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          3524302    3524373    3524302    3524373   
EmonterogeiiLV88_EmoLV88_36_19                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          1886774    1886855    1886774    1886856   
EmonterogeiiLV88_EmoLV88_36_20                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          1886634    1886714    1886633    1886715   
EmonterogeiiLV88_EmoLV88_36_21                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          1624068    1624139    1624067    1624140   
EmonterogeiiLV88_EmoLV88_36_22                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          1037614    1037685    1037614    1037685   
EmonterogeiiLV88_EmoLV88_36_23                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          1037471    1037541    1037470    1037541   
EmonterogeiiLV88_EmoLV88_36_24                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          1037342    1037413    1037342    1037413   
EmonterogeiiLV88_EmoLV88_36_25                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          1034773    1034843    1034772    1034843   
EmonterogeiiLV88_EmoLV88_36_26                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    -          1034644    1034715    1034644    1034715   
EmonterogeiiLV88_EmoLV88_36_27                               EmonterogeiiLV88                    EmoLV88_36                          chromosome    +          483400     483471     483400     483471    
EmonterogeiiLV88_EmoLV88_34_28                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    +          1246651    1246723    1246651    1246724   
EmonterogeiiLV88_EmoLV88_34_29                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    +          1246520    1246591    1246520    1246591   
EmonterogeiiLV88_EmoLV88_34_30                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    -          1246371    1246442    1246368    1246442   
EmonterogeiiLV88_EmoLV88_34_31                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    -          1246073    1246145    1246072    1246145   
EmonterogeiiLV88_EmoLV88_34_32                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    +          423048     423128     423048     423128    
EmonterogeiiLV88_EmoLV88_34_33                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    -          422897     422976     422895     422976    
EmonterogeiiLV88_EmoLV88_34_34                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    +          422782     422854     422781     422855    
EmonterogeiiLV88_EmoLV88_34_35                               EmonterogeiiLV88                    EmoLV88_34                          chromosome    +          422646     422719     422646     422720    
